"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19957","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144819","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19958","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144819","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19959","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144818","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19960","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144818","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19961","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144825","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","381258"
"19962","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144825","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","127542"
"19963","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144824","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","254172"
"19964","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144824","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","85028"
"19965","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144823","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19966","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144823","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19967","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144822","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19968","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144822","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19969","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144830","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19970","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144830","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19971","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144831","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19972","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144831","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19973","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144832","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19974","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144832","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19975","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144834","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19976","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144834","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","254172"
"19977","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144834","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","127542"
"19978","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144833","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19979","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144833","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19980","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144835","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19981","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144835","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19982","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144836","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19983","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144836","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
