"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"56872","Assam","Construction of shelters for animals","WS/MP18019/2024-2025/143870","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Aug-2025","Sri Longki Bey","Payment Success","125000"
"56873","Assam","Tree plantation for community","WS/MP18019/2024-2025/137589","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","12-Nov-2024","Sri Longki Bey","Payment Success","450000"
"56874","Assam","Tree plantation for community","WS/MP18019/2024-2025/137589","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","23-Apr-2025","Sri Longki Bey","Payment Success","150000"
"56875","Assam","Construction of community centers and community halls","WS/MP18019/2024-2025/137593","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","11-Nov-2024","Sri Son Sing Killing","Payment Success","231114"
"56876","Haryana","Construction of toilet blocks","WS/MP18060/2025-2026/212185","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","02-Mar-2026","Sanjeev Building Material","Payment Success","16143"
"56877","Haryana","Construction of rooms and halls in school and colleges","WS/MP18060/2025-2026/205024","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","31-Mar-2026","Sanjeev Building Material","Payment Success","28854"
"56878","Haryana","Construction of rooms and halls in school and colleges","WS/MP18060/2025-2026/205024","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","05-Jan-2026","Sanjeev Building Material","Payment Success","103093"
"56879","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163635","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","07-May-2025","NARYAN","Payment Success","5700"
"56880","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163635","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","07-May-2025","BHARAT CONSTRUCTIONS","Payment Success","12000"
"56881","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163635","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Apr-2025","BHARAT CONSTRUCTIONS","Payment Success","394580"
"56882","Rajasthan","Fitting of Sitting RCC Benches in Public Places","WS/MP18162/2026-2027/273197","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","15-May-2026","BHARAT CONSTRUCTIONS","Payment Success","387328"
"56883","Tamil Nadu","Construction of community centers and community halls","WS/MP18312/2025-2026/163727","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","27-Apr-2026","RAMESH N","Payment Success","995139"
"56884","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2024-2025/141227","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","10-Jan-2025","JAGJIT SINGH SO SUKHWINDER KAUR","Payment Success","44877"
"56885","West Bengal","Street lights","WS/MP479/2025-2026/160381","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","20-Feb-2026","JYOTI ENTERPRISE","Payment Success","454736"
"56886","West Bengal","Street lights","WS/MP479/2024-2025/138187","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","18-Aug-2025","JYOTI ENTERPRISE","Payment Success","1496129"
"56887","West Bengal","Lighting of public spaces","WS/MP479/2024-2025/138308","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","22-Aug-2025","JYOTI ENTERPRISE","Payment Success","129932"
